date,FA106902501.A,FA106300083.A,FA106902605.A,FA106025005.A,FA106020001.A,FA106401001.A,FA106240101.A,FA106402101.A,FA106140005.A,FA106402101.A,FA106150105.A,FA106130101.A,FA106121101.A,FA103092201.A,FA106150005.A,FA106130001.A,FA106121001.A,FA103192201.A,FA106112001.A,FA106140005.A,FA106220001.A,FA106403001.A,FA106012095.A,FA106012095.A,FA106006385.A,FA106012095.A,FA105440005.A,FA105050985.A,FA105019085.A,FA106300083.A,FA105420095.A,FA105020005.A,FA105000905.A,FA105000905.A,FA104090005.A,FA104000005.A,FA103020005.A,FA103030003.A,FA103091003.A,FA104022005.A,FA103069100.A,FA103061103.A,FA103061703.A,FA103062003.A,FA104035005.A,FA104041005.A,FA103065003.A,FA103081005.A,FA103034003.A,FA103064203.A,FA103092005.A,FA103092405.A,FA103094105.A,FA103076005.A,FA103096005.A,FA103070005.A,FA103093005.A,FA104190005.A,FA104122005.A,FA103169100.A,FA103162000.A,FA103163003.A,FA104123005.A,FA104141005.A,FA103168005.A,FA103169005.A,FA103165005.A,FA103181005.A,FA103164103.A,FA103192005.A,FA103152025.A,FA573074005.A,FA573073005.A,FA103196005.A,FA103170005.A,FA103178000.A,FA103193005.A,FA105000005.A,FV108090105.A,FV102010005.A,FV108090085.A,FU107005045.A,FU105020601.A,FR102010005.A,FR105035005.A,FR105015205.A,FR105013765.A,FR105020015.A,FR108080095.A,FR103064203.A,FR103092005.A,FR103181005.A,FR103164103.A,FR103192005.A,FR108200005.A,FC102090085.A,FL102000005.A,FL102010005.A,LM105035005.A,FL105015205.A,FL105013765.A,FL105020015.A,FL104090005.A,FL104000005.A,FL103020005.A,FL103030003.A,FL103091003.A,FL104022005.A,FL103069100.A,FL103061103.A,FL103061703.A,FL103062003.A,FL104035005.A,FL104041005.A,FL102051003.A,FL103066005.A,FL103065003.A,FL103081005.A,FL103034003.A,LM103064203.A,FL103092005.A,FL103092405.A,FL103094105.A,FL103076005.A,FL103096005.A,FL103070005.A,FL103093005.A,FL102100085.A,FL104194005.A,FL104122005.A,FL103169100.A,FL103162000.A,FL103163003.A,FL104123005.A,FL104141005.A,FL103168005.A,FL103169005.A,FL103165005.A,FL103181005.A,LM103164103.A,FL103192005.A,FL103152025.A,FL573074005.A,FL573073005.A,FL103196005.A,FL103170005.A,FL103178000.A,FL103193005.A,FL102090085.A
2002,5538879.00,804668.00,4734211.00,3541966.00,2938969.00,602997.00,472936.00,719310.00,362814.00,719310.00,394783.00,246100.00,50308.00,98375.00,751279.00,431647.00,305099.00,1475.00,13058.00,362814.00,97106.00,52317.00,213391.00,213391.00,213400.00,213391.00,-9.00,152167.00,941154.00,804668.00,-2658.00,18339.00,61232.00,61232.00,138648.00,2925.00,-12326.00,10181.00,5070.00,21266.00,4620.00,14502.00,-656.00,2800.00,6860.00,3936.00,2924.00,143523.00,5650.00,-176.00,131108.00,41.00,6900.00,18095.00,-54021.00,-98382.00,44361.00,88320.00,27423.00,-57913.00,2935.00,82401.00,-17225.00,-71535.00,-103389.00,31854.00,54310.00,50258.00,-24125.00,74383.00,82360.00,1525.00,80835.00,-54496.00,19753.00,11909.00,-86158.00,50328.00,-174692.00,0.00,-157652.00,10905.00,6136.00,269734.00,278059.00,-34049.00,-1295.00,27019.00,-26836.00,-17866.00,-8970.00,-2688097.00,-2600029.00,-88068.00,2930995.00,2969703.00,20981023.00,11039402.00,5607066.00,2975789.00,1144356.00,1312191.00,9941620.00,472109.00,160221.00,291301.00,20587.00,145157.00,64789.00,31354.00,16883.00,32131.00,130530.00,80969.00,6171.00,74798.00,49561.00,2041363.00,319714.00,90918.00,1611894.00,323.00,18514.00,223981.00,6928481.00,1719534.00,5208947.00,20981023.00,18107265.00,2934099.00,119813.00,160622.00,2653664.00,1880211.00,1428316.00,693430.00,734886.00,451894.00,9409770.00,8157248.00,1252522.00,389687.00,49933.00,339754.00,3493498.00,1458570.00,92954.00,1941974.00,2873758.00
2003,5724450.00,817952.00,4906498.00,3595679.00,2962238.00,633440.00,495767.00,815053.00,467914.00,815053.00,420242.00,236439.00,55828.00,127975.00,767381.00,391571.00,349202.00,11958.00,14650.00,467914.00,132889.00,61842.00,273183.00,273183.00,273273.00,273183.00,-90.00,156990.00,959997.00,817952.00,-2107.00,17051.00,116283.00,116283.00,86113.00,133008.00,43973.00,71477.00,17558.00,10846.00,10890.00,2336.00,-5653.00,3273.00,-13719.00,-15916.00,2197.00,103331.00,-30441.00,5792.00,125270.00,94.00,2616.00,19045.00,-166398.00,-17743.00,-148655.00,13448.00,39655.00,-37332.00,3292.00,73695.00,-42761.00,-84055.00,-91380.00,7325.00,41294.00,14448.00,-25530.00,39978.00,56384.00,-169.00,56553.00,-54278.00,-54709.00,-11732.00,12163.00,72665.00,118900.00,0.00,152960.00,43619.00,-9558.00,182666.00,163999.00,-24459.00,21540.00,21586.00,26064.00,18170.00,7894.00,2673843.00,2664322.00,9521.00,-2465113.00,-2072940.00,21491470.00,11374757.00,5812346.00,3006130.00,1195894.00,1360387.00,10116713.00,605116.00,204193.00,362778.00,38145.00,156003.00,75679.00,33690.00,11230.00,35404.00,116809.00,65051.00,5986.00,59065.00,51758.00,2170620.00,289273.00,114880.00,1745058.00,416.00,20993.00,243025.00,6825139.00,1701793.00,5123346.00,21491470.00,20690652.00,2973754.00,82481.00,163914.00,2727359.00,1851539.00,1356261.00,614050.00,742211.00,495277.00,12098061.00,10796040.00,1302021.00,77996.00,49764.00,28232.00,3689302.00,1403862.00,81222.00,2204219.00,800818.00
2004,6107921.00,850224.00,5257697.00,3762754.00,3099858.00,662897.00,530892.00,964050.00,561665.00,964050.00,480592.00,251863.00,66281.00,162448.00,882977.00,394609.00,430762.00,40476.00,17130.00,561665.00,186989.00,61994.00,312682.00,312682.00,319339.00,312682.00,-6657.00,208375.00,1010054.00,850224.00,-1802.00,50347.00,110964.00,110964.00,779053.00,56209.00,2971.00,37678.00,15560.00,16185.00,19344.00,324.00,108.00,-3591.00,15422.00,582.00,14840.00,284117.00,10287.00,-1268.00,272392.00,71.00,2635.00,19668.00,387452.00,128850.00,258602.00,614067.00,16004.00,15301.00,12466.00,-11763.00,147187.00,55041.00,3954.00,51087.00,92146.00,2533.00,-93446.00,95979.00,81218.00,-3116.00,84334.00,367125.00,97683.00,6774.00,262668.00,164986.00,267220.00,-9153.00,182898.00,-54022.00,-39453.00,1315016.00,1197790.00,64922.00,10875.00,41430.00,89186.00,11941.00,77245.00,1342903.00,1331129.00,11774.00,61299.00,647858.00,23864002.00,12926739.00,7047575.00,3145391.00,1242156.00,1491616.00,10937264.00,661325.00,207164.00,400456.00,53705.00,172188.00,95023.00,34014.00,11338.00,31813.00,132231.00,65633.00,6422.00,59211.00,66598.00,2543874.00,299560.00,125553.00,2094695.00,487.00,23579.00,262692.00,7164953.00,1830643.00,5334310.00,23864002.00,22415327.00,3013802.00,97782.00,200424.00,2715596.00,1998727.00,1411302.00,618004.00,793298.00,587424.00,13443497.00,12033723.00,1409774.00,80945.00,46648.00,34297.00,3878356.00,1501545.00,87996.00,2288815.00,1448676.00
2005,6532150.00,909920.00,5622230.00,3930315.00,3238018.00,692297.00,573176.00,1118738.00,757761.00,1118738.00,614589.00,296883.00,300258.00,17448.00,975566.00,451046.00,471061.00,34019.00,19440.00,757761.00,271866.00,74216.00,411679.00,411679.00,427195.00,411679.00,-15517.00,276952.00,1133365.00,909920.00,995.00,52513.00,150243.00,150243.00,944481.00,120563.00,60793.00,49904.00,9866.00,40388.00,15951.00,18103.00,6034.00,300.00,10162.00,8510.00,1652.00,142543.00,52651.00,712.00,24689.00,42.00,64449.00,21221.00,609604.00,277605.00,331999.00,965394.00,-6593.00,-7710.00,42234.00,-41117.00,267488.00,83020.00,-27119.00,110139.00,184468.00,-201510.00,-300224.00,98714.00,91165.00,-1885.00,93050.00,814844.00,198999.00,-1774.00,617619.00,-20913.00,288546.00,-22668.00,450238.00,171156.00,-32132.00,931369.00,810790.00,44990.00,27937.00,47652.00,94464.00,8139.00,86325.00,960587.00,919631.00,40956.00,65246.00,780987.00,26064581.00,14163936.00,7920256.00,3297800.00,1321968.00,1623912.00,11900645.00,781888.00,267957.00,450360.00,63571.00,212576.00,110974.00,52117.00,17372.00,32113.00,142393.00,74143.00,14560.00,59583.00,68250.00,2809881.00,352211.00,134404.00,2205709.00,529.00,117028.00,283913.00,7669994.00,2108248.00,5561746.00,26064581.00,23834918.00,3007209.00,90072.00,242658.00,2674479.00,2266214.00,1494323.00,590885.00,903438.00,771892.00,14202574.00,12653130.00,1549444.00,14645.00,44763.00,-30118.00,4344275.00,1700544.00,86222.00,2557509.00,2229663.00
2006,6988047.00,979380.00,6008667.00,4129346.00,3420865.00,708481.00,610070.00,1269251.00,764551.00,1269251.00,644103.00,357558.00,79678.00,206867.00,1148802.00,521124.00,550754.00,56619.00,20306.00,764551.00,307703.00,70359.00,386490.00,386490.00,386517.00,386490.00,-27.00,355793.00,1259883.00,979380.00,13609.00,61681.00,30724.00,30724.00,700135.00,-84818.00,-117215.00,46632.00,-14235.00,-1159.00,11695.00,-6654.00,-2218.00,-3982.00,-12990.00,-4557.00,-8433.00,334868.00,69064.00,23640.00,219171.00,51.00,22942.00,7582.00,456652.00,-14765.00,471417.00,839138.00,151171.00,22447.00,54130.00,74594.00,232114.00,149909.00,22045.00,127864.00,82205.00,-304871.00,-496903.00,192032.00,146437.00,-1967.00,148404.00,614287.00,109051.00,-801.00,506037.00,-139003.00,576911.00,0.00,710963.00,169727.00,-35675.00,972947.00,872262.00,70917.00,20523.00,9245.00,31028.00,15177.00,15851.00,2183018.00,2201784.00,-18766.00,-1179043.00,-215615.00,28193089.00,15533637.00,8888379.00,3513636.00,1401109.00,1730513.00,12659452.00,697070.00,150742.00,496992.00,49336.00,211417.00,122669.00,45463.00,15154.00,28131.00,123643.00,63826.00,15533.00,48293.00,59817.00,3175893.00,421275.00,173221.00,2440731.00,580.00,140086.00,291494.00,8159935.00,2099243.00,6060692.00,28193089.00,26179041.00,3158380.00,112519.00,296788.00,2749073.00,2519087.00,1641368.00,612930.00,1028438.00,877720.00,16080721.00,14358011.00,1722710.00,35902.00,64745.00,-28843.00,4384951.00,1812853.00,85421.00,2486677.00,2014048.00
2007,7203904.00,1040264.00,6163640.00,4305337.00,3572053.00,733284.00,632529.00,1225774.00,669078.00,1225774.00,687395.00,379359.00,92307.00,215729.00,1244091.00,605670.00,576886.00,38891.00,22645.00,669078.00,293820.00,62185.00,313073.00,313073.00,313107.00,313073.00,-34.00,339534.00,1348223.00,1040264.00,381.00,31194.00,-26427.00,-26427.00,1072778.00,-62354.00,-7611.00,-55657.00,914.00,-61675.00,-53207.00,-7144.00,-2381.00,1057.00,-24392.00,-5949.00,-18443.00,374623.00,127180.00,-4904.00,307040.00,132.00,-54825.00,8320.00,838256.00,162561.00,675695.00,1280950.00,201975.00,11296.00,70637.00,120042.00,453150.00,383810.00,96291.00,287519.00,69340.00,-494230.00,-706340.00,212110.00,6843.00,4541.00,2302.00,1113212.00,85078.00,-49593.00,1077727.00,-208172.00,678946.00,0.00,821168.00,181745.00,-39523.00,1465641.00,1342439.00,22563.00,30195.00,70444.00,154837.00,9711.00,145126.00,1850436.00,1823312.00,27124.00,-229958.00,762095.00,31166554.00,17413791.00,10376377.00,3673412.00,1492327.00,1871675.00,13752763.00,634716.00,143131.00,441335.00,50250.00,149742.00,69462.00,38319.00,12773.00,29188.00,99251.00,57877.00,8050.00,49827.00,41374.00,3701607.00,548455.00,178028.00,2892897.00,712.00,81515.00,299814.00,8867633.00,2261804.00,6605829.00,31166554.00,28390411.00,3360355.00,123815.00,367425.00,2869115.00,2978738.00,2031678.00,715722.00,1315956.00,947060.00,17436927.00,15474983.00,1961944.00,47655.00,69286.00,-21631.00,4566736.00,1897931.00,35828.00,2632977.00,2776143.00
2008,7256769.00,1093948.00,6162821.00,4357976.00,3619521.00,738456.00,632676.00,1172169.00,574478.00,1172169.00,626937.00,302787.00,108032.00,216118.00,1224627.00,584458.00,582200.00,32112.00,25857.00,574478.00,227435.00,50344.00,296699.00,296699.00,300384.00,296699.00,-3685.00,266573.00,1372659.00,1093948.00,17586.00,-29724.00,33811.00,33811.00,-608829.00,-213969.00,-58976.00,-129447.00,-25546.00,-25685.00,-12176.00,-7864.00,-2621.00,-3024.00,-11086.00,-3361.00,-7725.00,423498.00,178521.00,-16512.00,262638.00,-87.00,-1062.00,10924.00,-792511.00,-168233.00,-624278.00,338861.00,191361.00,7664.00,66776.00,116921.00,87561.00,132139.00,64157.00,67982.00,-44578.00,-125973.00,-315560.00,189587.00,142374.00,14738.00,127636.00,43539.00,-225243.00,3126.00,265656.00,-947690.00,-744218.00,-5792.00,206117.00,981501.00,-36958.00,-1109732.00,-1154370.00,99892.00,13179.00,-68433.00,-199621.00,-55183.00,-144438.00,-5651233.00,-5549986.00,-101247.00,4341880.00,3898046.00,29507935.00,16584712.00,9352911.00,3857177.00,1564148.00,1810475.00,12923223.00,420746.00,84154.00,311888.00,24704.00,124057.00,57286.00,30455.00,10152.00,26164.00,88164.00,54515.00,7178.00,47337.00,33649.00,3925282.00,726976.00,106333.00,3011097.00,423.00,80453.00,310940.00,8054034.00,2093572.00,5960462.00,29507935.00,22833746.00,3551716.00,131479.00,434201.00,2986036.00,3061324.00,2163814.00,779878.00,1383937.00,897510.00,11659721.00,9609437.00,2050284.00,760130.00,84024.00,676106.00,3800855.00,1672688.00,38954.00,2089213.00,6674189.00
2009,6859795.00,1091972.00,5767824.00,4088426.00,3377536.00,710890.00,605871.00,1073526.00,630571.00,1073526.00,563825.00,214588.00,139026.00,210211.00,1006781.00,480018.00,490419.00,18094.00,18250.00,630571.00,177845.00,71758.00,380968.00,380968.00,342670.00,380968.00,38299.00,-74574.00,1141919.00,1091972.00,6268.00,-130788.00,417243.00,417243.00,299760.00,254495.00,70758.00,176913.00,6824.00,16316.00,-1299.00,12509.00,4169.00,937.00,-7171.00,-3070.00,-4101.00,224286.00,-71444.00,35268.00,269714.00,23.00,-9275.00,-3952.00,-184214.00,-29493.00,-154721.00,-248719.00,178864.00,-73067.00,36667.00,215264.00,-523481.00,-394822.00,-234048.00,-160774.00,-128659.00,53476.00,-51162.00,104638.00,67143.00,-8605.00,75748.00,-24721.00,-82625.00,-3254.00,61158.00,548479.00,172315.00,0.00,47740.00,-131236.00,6660.00,-2627051.00,-2645593.00,-16131.00,3063.00,31611.00,-15260.00,20438.00,-35698.00,2497067.00,2665558.00,-168491.00,-5139378.00,-4624393.00,27177224.00,13859751.00,6761300.00,3793101.00,1600712.00,1704638.00,13317474.00,675241.00,154912.00,488801.00,31528.00,140373.00,55987.00,42964.00,14321.00,27101.00,80993.00,51445.00,7852.00,43593.00,29548.00,4134307.00,655532.00,162039.00,3245113.00,445.00,71178.00,306989.00,7979570.00,2064079.00,5915491.00,27177224.00,25127428.00,3730580.00,58412.00,470868.00,3201300.00,2453690.00,1684840.00,545830.00,1139010.00,768850.00,14210264.00,12223833.00,1986431.00,574051.00,75419.00,498632.00,4158843.00,1590062.00,35700.00,2533081.00,2049796.00
2010,7238744.00,1094580.00,6144164.00,4158698.00,3446110.00,712588.00,632999.00,1352468.00,907307.00,1352468.00,580265.00,177507.00,134433.00,268325.00,1025426.00,444488.00,509907.00,51831.00,19200.00,907307.00,220584.00,83271.00,603451.00,603451.00,582535.00,603451.00,20916.00,143263.00,1181030.00,1094580.00,-1111.00,57924.00,439272.00,439272.00,632727.00,148566.00,79558.00,59910.00,9098.00,15572.00,11991.00,5060.00,1687.00,-3166.00,177.00,1740.00,-1563.00,183547.00,-157702.00,11120.00,303341.00,123.00,26665.00,11704.00,273161.00,96878.00,176283.00,487573.00,235364.00,24518.00,32699.00,178147.00,-288505.00,-177460.00,-87013.00,-90447.00,-111045.00,-93628.00,-250676.00,157048.00,-9570.00,15383.00,-24953.00,643913.00,156321.00,7157.00,480435.00,145154.00,379298.00,0.00,632408.00,294117.00,-41007.00,857533.00,724840.00,41115.00,22472.00,69107.00,-131923.00,13629.00,-145552.00,2007820.00,2022571.00,-14751.00,-1282210.00,-320377.00,28951845.00,14935088.00,7539695.00,3853646.00,1669072.00,1872675.00,14016756.00,823808.00,234471.00,548711.00,40626.00,155945.00,67978.00,48024.00,16008.00,23935.00,84896.00,56911.00,12127.00,44784.00,27985.00,4148824.00,497830.00,186788.00,3402902.00,569.00,60735.00,318692.00,8484591.00,2157231.00,6327360.00,28951845.00,27222426.00,3965944.00,82930.00,503567.00,3379447.00,2098340.00,1425283.00,477139.00,948144.00,673057.00,16124456.00,13995728.00,2128728.00,539311.00,90802.00,448509.00,4494375.00,1746384.00,42857.00,2705135.00,1729419.00
2011,7592324.00,1139216.00,6453108.00,4363364.00,3622918.00,740446.00,670603.00,1419140.00,903409.00,1419140.00,549562.00,176266.00,94796.00,278500.00,1065293.00,444294.00,535842.00,63489.00,21669.00,903409.00,228798.00,90448.00,584162.00,584162.00,590588.00,584162.00,-6426.00,199142.00,1303920.00,1139216.00,-499.00,34938.00,391446.00,391446.00,496777.00,38266.00,30832.00,13233.00,-5799.00,-8499.00,-114.00,-5056.00,-1685.00,-1644.00,2168.00,2725.00,-557.00,363965.00,-35443.00,-12836.00,403908.00,-35.00,8371.00,12287.00,88590.00,83439.00,5151.00,894301.00,203852.00,33379.00,8158.00,162315.00,131972.00,212292.00,152104.00,60188.00,-80320.00,-261884.00,-454584.00,192700.00,-13197.00,2960.00,-16157.00,833558.00,25189.00,8796.00,799573.00,-397524.00,-54925.00,0.00,665756.00,788970.00,-68289.00,781852.00,643730.00,76560.00,27868.00,33694.00,-55704.00,-8078.00,-47626.00,255329.00,346020.00,-90691.00,470819.00,1006483.00,30501459.00,15992555.00,8228088.00,4007952.00,1746918.00,2009596.00,14508905.00,862074.00,265303.00,561944.00,34827.00,147446.00,67864.00,42968.00,14323.00,22291.00,87063.00,59635.00,12576.00,47059.00,27428.00,4457084.00,462387.00,165874.00,3759184.00,533.00,69106.00,330979.00,8624259.00,2240671.00,6383588.00,30501459.00,27765558.00,4169796.00,116309.00,511725.00,3541762.00,2230313.00,1637576.00,629243.00,1008334.00,592737.00,16117901.00,13887164.00,2230737.00,611348.00,93762.00,517586.00,4636200.00,1771573.00,51653.00,2812975.00,2735902.00
2012,8011865.00,1186196.00,6825669.00,4593307.00,3826377.00,766930.00,690362.00,1542000.00,917261.00,1542000.00,530978.00,162230.00,106902.00,261846.00,1155717.00,438167.00,624828.00,70209.00,22514.00,917261.00,266696.00,93896.00,556669.00,556669.00,573666.00,556669.00,-16997.00,320286.00,1439947.00,1186196.00,771.00,65764.00,253380.00,253380.00,506331.00,-11698.00,-45531.00,33280.00,553.00,-12451.00,-8367.00,-3531.00,-1177.00,624.00,-3789.00,-1903.00,-1886.00,376846.00,57061.00,-1692.00,318878.00,31.00,2568.00,8010.00,149413.00,52564.00,96849.00,985379.00,352455.00,14021.00,12936.00,325498.00,-47149.00,67923.00,101466.00,-33543.00,-115072.00,-162989.00,-344905.00,181916.00,-14938.00,-12321.00,-2617.00,858000.00,65426.00,2314.00,790260.00,-479048.00,-233220.00,-6904.00,491920.00,732428.00,-14191.00,542036.00,498129.00,13518.00,19905.00,10485.00,71983.00,15393.00,56590.00,2024295.00,2037155.00,-12860.00,-1410276.00,-1069831.00,31941029.00,16852637.00,8793757.00,4139429.00,1819416.00,2100036.00,15088392.00,850376.00,219772.00,595224.00,35380.00,134995.00,59497.00,39437.00,13146.00,22915.00,83274.00,57732.00,9696.00,48036.00,25542.00,4905913.00,519448.00,179575.00,4134652.00,564.00,71674.00,338989.00,8774845.00,2293235.00,6481610.00,31941029.00,30274959.00,4522251.00,130330.00,524661.00,3867260.00,2226674.00,1749009.00,712137.00,1036873.00,477664.00,17979207.00,15579414.00,2399793.00,472293.00,81441.00,390852.00,5074535.00,1836998.00,53967.00,3183570.00,1666070.00
2013,8305164.00,1228150.00,7077014.00,4749659.00,3955248.00,794411.00,721526.00,1605830.00,1020106.00,1605830.00,541056.00,150869.00,100632.00,289555.00,1126780.00,410281.00,632520.00,61834.00,22146.00,1020106.00,283606.00,94680.00,641820.00,641820.00,647531.00,641820.00,-5712.00,351787.00,1504951.00,1228150.00,1389.00,73597.00,295744.00,295744.00,989605.00,141469.00,63508.00,35830.00,42131.00,-13179.00,-6611.00,-615.00,-4205.00,-1748.00,-4003.00,-5557.00,1554.00,354369.00,39696.00,1200.00,298695.00,47.00,14731.00,-6024.00,516973.00,261577.00,255396.00,926671.00,293303.00,14181.00,3101.00,276021.00,103971.00,105440.00,63761.00,41679.00,-1469.00,-176925.00,-352913.00,175988.00,106088.00,-2472.00,108560.00,600234.00,101338.00,-9078.00,507974.00,62934.00,511125.00,0.00,747259.00,232810.00,3324.00,1398765.00,1334615.00,28968.00,41077.00,-5895.00,-13560.00,30248.00,-43808.00,5338542.00,5334083.00,4459.00,-3953337.00,-2794681.00,34828932.00,18568226.00,10198968.00,4287421.00,1917423.00,2164414.00,16260706.00,991845.00,283280.00,631054.00,77511.00,121816.00,52886.00,38822.00,8941.00,21167.00,79271.00,52175.00,8744.00,43431.00,27096.00,5246722.00,559144.00,211023.00,4389539.00,611.00,86405.00,332966.00,9488086.00,2554812.00,6933274.00,34828932.00,35957543.00,4815554.00,144511.00,527762.00,4143281.00,2315145.00,1838949.00,775839.00,1063110.00,476196.00,23140824.00,20560584.00,2580240.00,298350.00,78969.00,219381.00,5387670.00,1938336.00,44889.00,3404444.00,-1128610.00
2014,8703882.00,1282782.00,7421100.00,4999471.00,4181346.00,818126.00,738300.00,1683329.00,1038683.00,1683329.00,564467.00,150424.00,103603.00,310440.00,1209114.00,421543.00,683195.00,79942.00,24434.00,1038683.00,313657.00,90825.00,634201.00,634201.00,640876.00,634201.00,-6675.00,402422.00,1625527.00,1282782.00,1800.00,57879.00,238453.00,238453.00,790204.00,8707.00,39089.00,-21523.00,-8859.00,9323.00,3510.00,2470.00,4823.00,-1480.00,18659.00,13807.00,4852.00,321584.00,-918.00,15148.00,293136.00,136.00,14082.00,10350.00,421581.00,70837.00,350744.00,1293713.00,307293.00,37452.00,-11.00,269852.00,177466.00,155998.00,92953.00,63045.00,21467.00,-240028.00,-392203.00,152175.00,82489.00,-2865.00,85354.00,966493.00,108752.00,-1392.00,859133.00,-503509.00,-5282.00,0.00,739715.00,741962.00,3034.00,1078214.00,1041567.00,28187.00,23803.00,-15343.00,-58721.00,8364.00,-67085.00,2519536.00,2511322.00,8214.00,-1500043.00,-864449.00,37170298.00,20029370.00,11371694.00,4446717.00,2007044.00,2203915.00,17140928.00,1000552.00,322369.00,609531.00,68652.00,131139.00,56396.00,41292.00,13764.00,19687.00,97932.00,65984.00,21614.00,44370.00,31948.00,5509585.00,558226.00,234535.00,4615590.00,747.00,100487.00,343316.00,10058404.00,2625647.00,7432757.00,37170298.00,39163357.00,5122847.00,181963.00,527751.00,4413133.00,2493069.00,1994840.00,868685.00,1126155.00,498229.00,25420332.00,22679703.00,2740629.00,359560.00,76104.00,283456.00,5767549.00,2047089.00,43497.00,3676963.00,-1993059.00
2015,9008832.00,1329605.00,7679227.00,5259812.00,4412273.00,847538.00,754228.00,1665188.00,964237.00,1665188.00,549987.00,163062.00,100662.00,286263.00,1250939.00,453047.00,708662.00,68335.00,20896.00,964237.00,308091.00,104656.00,551490.00,551490.00,554731.00,551490.00,-3241.00,436060.00,1654610.00,1329605.00,29900.00,81156.00,118671.00,118671.00,918462.00,-64558.00,-13267.00,-30646.00,-20645.00,-6936.00,-1687.00,-5855.00,-1952.00,2558.00,8432.00,3580.00,4852.00,318704.00,18595.00,7404.00,296739.00,90.00,-4124.00,2364.00,660456.00,-15555.00,676011.00,887129.00,408592.00,-5415.00,13441.00,400566.00,63826.00,46002.00,77098.00,-31096.00,17825.00,-242981.00,-563079.00,320098.00,62580.00,-4319.00,66899.00,595111.00,-33146.00,-1818.00,630075.00,31333.00,487956.00,0.00,630114.00,87338.00,54820.00,1013973.00,1044366.00,-9938.00,26265.00,-46721.00,-111378.00,-6220.00,-105158.00,-531176.00,-435230.00,-95946.00,1433771.00,2476458.00,39439872.00,21393162.00,12520370.00,4584290.00,2104972.00,2183530.00,18046710.00,935994.00,309102.00,578885.00,48007.00,124203.00,54709.00,35437.00,11812.00,22245.00,106364.00,69564.00,25983.00,43581.00,36800.00,5716910.00,576821.00,235719.00,4807171.00,836.00,96363.00,345681.00,10817558.00,2610092.00,8207466.00,39439872.00,38956474.00,5531439.00,176548.00,541192.00,4813699.00,2558596.00,2042543.00,947482.00,1095060.00,516053.00,24646175.00,21681394.00,2964781.00,568735.00,71785.00,496950.00,5651529.00,2013943.00,41679.00,3595907.00,483398.00
